nohup: ignoring input
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:171: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
Using device: cuda:0
Loading data...
Classes: ['browsing', 'chat', 'email', 'ftp', 'p2p', 'streaming', 'voip']
Train samples: 13281, Val: 1383, Test: 1384
Number of classes: 7

Training MobileNetV2
  Parameters: 2.23M (trainable: 2.23M)
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:115: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Epoch 20/50: Loss=0.4873, Train Acc=98.74%, Val Acc=97.40%
  Epoch 21/50: Loss=0.4840, Train Acc=98.85%, Val Acc=97.11%
  Epoch 22/50: Loss=0.4805, Train Acc=98.89%, Val Acc=97.40%
  Epoch 23/50: Loss=0.4760, Train Acc=99.13%, Val Acc=97.32%
  Epoch 24/50: Loss=0.4744, Train Acc=99.15%, Val Acc=96.82%
  Epoch 25/50: Loss=0.4644, Train Acc=99.47%, Val Acc=97.69%
  Epoch 26/50: Loss=0.4597, Train Acc=99.74%, Val Acc=97.61%
  Epoch 27/50: Loss=0.4562, Train Acc=99.74%, Val Acc=97.54%
  Epoch 28/50: Loss=0.4556, Train Acc=99.80%, Val Acc=97.98%
  Epoch 29/50: Loss=0.4564, Train Acc=99.76%, Val Acc=97.90%
  Epoch 30/50: Loss=0.4551, Train Acc=99.76%, Val Acc=97.61%
  Epoch 31/50: Loss=0.4531, Train Acc=99.87%, Val Acc=97.90%
  Epoch 32/50: Loss=0.4541, Train Acc=99.78%, Val Acc=97.90%
  Epoch 33/50: Loss=0.4537, Train Acc=99.81%, Val Acc=97.83%
  Epoch 34/50: Loss=0.4502, Train Acc=99.93%, Val Acc=97.69%
  Epoch 35/50: Loss=0.4500, Train Acc=99.94%, Val Acc=97.69%
  Epoch 36/50: Loss=0.4501, Train Acc=99.92%, Val Acc=97.98%
  Epoch 37/50: Loss=0.4495, Train Acc=99.95%, Val Acc=97.83%
  Epoch 38/50: Loss=0.4484, Train Acc=99.98%, Val Acc=97.83%
  Epoch 39/50: Loss=0.4485, Train Acc=99.98%, Val Acc=97.76%
  Epoch 40/50: Loss=0.4477, Train Acc=99.99%, Val Acc=97.90%
  Epoch 41/50: Loss=0.4488, Train Acc=99.96%, Val Acc=97.83%
  Epoch 42/50: Loss=0.4479, Train Acc=99.98%, Val Acc=97.83%
  Epoch 43/50: Loss=0.4477, Train Acc=100.00%, Val Acc=97.83%
  Epoch 44/50: Loss=0.4475, Train Acc=99.99%, Val Acc=97.69%
  Epoch 45/50: Loss=0.4476, Train Acc=99.99%, Val Acc=97.90%
  Epoch 46/50: Loss=0.4473, Train Acc=100.00%, Val Acc=97.90%
  Epoch 47/50: Loss=0.4476, Train Acc=99.98%, Val Acc=97.76%
  Epoch 48/50: Loss=0.4478, Train Acc=99.97%, Val Acc=97.90%
  Epoch 49/50: Loss=0.4477, Train Acc=99.98%, Val Acc=97.76%
  Epoch 50/50: Loss=0.4473, Train Acc=100.00%, Val Acc=97.54%
  Best Val Acc: 97.98%, Test Acc: 97.11%
  Training Time: 3.0 minutes

Training RepVit-M0.9
  Parameters: 4.72M (trainable: 4.72M)
  Epoch 1/50: Loss=1.1106, Train Acc=71.15%, Val Acc=79.46%
  Epoch 2/50: Loss=0.8418, Train Acc=82.40%, Val Acc=80.62%
  Epoch 3/50: Loss=0.7468, Train Acc=85.96%, Val Acc=87.20%
  Epoch 4/50: Loss=0.6846, Train Acc=89.38%, Val Acc=91.54%
  Epoch 5/50: Loss=0.5864, Train Acc=94.41%, Val Acc=95.95%
  Epoch 6/50: Loss=0.5456, Train Acc=96.24%, Val Acc=95.81%
  Epoch 7/50: Loss=0.5303, Train Acc=96.84%, Val Acc=96.31%
  Epoch 8/50: Loss=0.5136, Train Acc=97.49%, Val Acc=96.82%
  Epoch 9/50: Loss=0.5067, Train Acc=97.78%, Val Acc=96.67%
  Epoch 10/50: Loss=0.5065, Train Acc=97.72%, Val Acc=97.11%
  Epoch 11/50: Loss=0.5030, Train Acc=97.89%, Val Acc=96.89%
  Epoch 12/50: Loss=0.4947, Train Acc=98.22%, Val Acc=96.24%
  Epoch 13/50: Loss=0.4917, Train Acc=98.31%, Val Acc=97.25%
  Epoch 14/50: Loss=0.4884, Train Acc=98.34%, Val Acc=96.82%
  Epoch 15/50: Loss=0.4802, Train Acc=98.83%, Val Acc=97.32%
  Epoch 16/50: Loss=0.4753, Train Acc=98.97%, Val Acc=96.89%
  Epoch 17/50: Loss=0.4770, Train Acc=98.85%, Val Acc=97.32%
  Epoch 18/50: Loss=0.4757, Train Acc=99.02%, Val Acc=97.54%
  Epoch 19/50: Loss=0.4719, Train Acc=99.13%, Val Acc=97.83%
  Epoch 20/50: Loss=0.4666, Train Acc=99.26%, Val Acc=97.47%
  Epoch 21/50: Loss=0.4656, Train Acc=99.35%, Val Acc=97.69%
  Epoch 22/50: Loss=0.4647, Train Acc=99.34%, Val Acc=97.40%
  Epoch 23/50: Loss=0.4609, Train Acc=99.49%, Val Acc=97.69%
  Epoch 24/50: Loss=0.4618, Train Acc=99.43%, Val Acc=97.83%
  Epoch 25/50: Loss=0.4609, Train Acc=99.50%, Val Acc=98.26%
  Epoch 26/50: Loss=0.4590, Train Acc=99.56%, Val Acc=98.26%
  Epoch 27/50: Loss=0.4595, Train Acc=99.51%, Val Acc=98.12%
  Epoch 28/50: Loss=0.4572, Train Acc=99.63%, Val Acc=98.12%
  Epoch 29/50: Loss=0.4567, Train Acc=99.67%, Val Acc=98.12%
  Epoch 30/50: Loss=0.4555, Train Acc=99.71%, Val Acc=97.90%
  Epoch 31/50: Loss=0.4557, Train Acc=99.66%, Val Acc=98.05%
  Epoch 32/50: Loss=0.4543, Train Acc=99.72%, Val Acc=98.26%
  Epoch 33/50: Loss=0.4539, Train Acc=99.72%, Val Acc=98.48%
  Epoch 34/50: Loss=0.4521, Train Acc=99.80%, Val Acc=98.41%
  Epoch 35/50: Loss=0.4507, Train Acc=99.89%, Val Acc=98.55%
  Epoch 36/50: Loss=0.4502, Train Acc=99.89%, Val Acc=98.34%
  Epoch 37/50: Loss=0.4496, Train Acc=99.92%, Val Acc=98.48%
  Epoch 38/50: Loss=0.4489, Train Acc=99.97%, Val Acc=98.55%
  Epoch 39/50: Loss=0.4486, Train Acc=99.96%, Val Acc=98.55%
  Epoch 40/50: Loss=0.4485, Train Acc=99.98%, Val Acc=98.55%
